Excerpt 1,Excerpt 2,Excerpt 3,Excerpt 4,Excerpt 5,Excerpt 6,Excerpt 7,Excerpt 8,Excerpt 9,Excerpt 10,Excerpt 11,Excerpt 12,Excerpt 13,Excerpt 14,Excerpt 15,Excerpt 16,Excerpt 16,Excerpt 17,Excerpt 18,Excerpt 19,Excerpt 20,Excerpt 21,Excerpt 22,Excerpt 23,Excerpt 24,Excerpt 25,Excerpt 26,Excerpt 27,Excerpt 28,Excerpt 29,Excerpt 30,Q9,Q11,Q15,Q13,Q13_11_TEXT,Q23,Q19,Q29,Q22,Q23,Q24,Q21,Q33,Q27,Q31,Q25,Q17,Q35
"Complexe,Surprenant,Rapide,Brillant",,,"Complexe,Surprenant,Fort,Joyeux",,,"Terne,Long,Mysterieux,Inquietant,Lent",Surprenant,"Long,Monotone,Fort,Joyeux","Triste,Terne,Melancolique,Lent","Monotone,Chaleureux,Tendre,Joyeux",,"Colore,Chaleureux,Rapide,Joyeux",,,,"Surprenant,Rapide,Brillant",,"Triste,Terne,Mysterieux,Inquietant,Lent","Colore,Chaleureux,Joyeux",,"Triste,Melancolique,Lent",Surprenant,,"Terne,Mysterieux,Inquietant,Lent","Rapide,Clair,Joyeux",,,,,,18 ans ,Femme,FR,Etudiant,,0,,,Oui,piano,2,Oui,2,Non,,,,
"Chaleureux,Bavard,Rapide,Dansant,Joyeux,Vaillant","Complexe,Changeant,Surprenant,Mysterieux",,,"Puissant,Epure,Mysterieux,Inquietant,Solennel,Sombre",,"Complexe,Monotone,Fort,Inquietant,Sombre","Puissant,Doux,Fort,Mysterieux,Solennel","Incisif,Agressif",,,,"Complexe,Colore,Exotique,Chaleureux,Surprenant,Dansant,Joyeux,Brillant,Vaillant",,,,"Monotone,Transparent",,"Changeant,Long,Monotone,Agressif,Surprenant,Mysterieux","Exotique,Chaleureux,Surprenant,Mysterieux","Terne,Long,Faible,Monotone,Transparent,Lent","Triste,Monotone,Doux,Melancolique,Transparent,Tendre",,"Exotique,Chaleureux,Dansant,Joyeux",,,"Complexe,Colore,Exotique,Surprenant,Rapide",,,,"Terne,Long,Doux,Melancolique,Surprenant,Mysterieux",18,Homme,FR,Etudiant,,0,,,Non,,,Non,,Non,,,,
"Puissant,Rapide,Solennel",,Solennel,"Changeant,Bavard,Rapide,Dansant,Joyeux",Mysterieux,"Agressif,Bavard,Rapide,Inquietant","Changeant,Mysterieux,Inquietant",,,,Epure,,"Chaleureux,Bavard,Rapide,Dansant,Joyeux",,"Triste,Puissant,Melancolique,Tendre",,,,,,"Chaleureux,Rapide,Joyeux,Vaillant",,"Changeant,Rapide",,"Agressif,Inquietant,Solennel","Agressif,Bavard,Rapide","Rapide,Dansant,Vaillant","Triste,Terne,Melancolique,Tendre,Sombre",,,,20 ans,Femme,FR,Etudiant,,8,Instrumentale,Piano et voix,Oui,guitare,2,Oui,3ans,Non,,,,
"Puissant,Fort,Inquietant,Joyeux",,,"Colore,Changeant,Bavard,Joyeux","Terne,Long,Inquietant","Court,Rapide,Inquietant,Sombre",,"Puissant,Chaleureux,Surprenant,Dansant,Joyeux,Vaillant",,"Long,Monotone,Solennel",,,,,,"Puissant,Agressif,Fort,Rapide,Sombre","Changeant,Incisif,Agressif,Rapide",,,"Complexe,Colore,Bavard,Dansant,Joyeux,Vaillant",,"Complexe,Melancolique,Mysterieux,Inquietant,Brillant",,,"Faible,Monotone,Melancolique,Solennel,Sombre,Lent","Rapide,Clair",,"Complexe,Changeant,Exotique,Agressif,Fort,Solennel","Complexe,Chaleureux,Bavard","Colore,Chaleureux,Bavard,Solennel,Vaillant",,20,Homme,FR,Etudiant,,5,Instrumentale,Guitare et piano ,Non,,,Non,,Non,,,,
,"Complexe,Surprenant,Fort,Mysterieux,Solennel","Terne,Epure,Solennel","Complexe,Agressif,Bavard,Surprenant",,"Incisif,Rapide,Mysterieux,Inquietant",,,"Epure,Dansant,Solennel","Triste,Inquietant,Vaillant","Triste,Court,Melancolique,Clair,Vaillant",,,"Epure,Chaleureux,Bavard,Fort,Dansant",,,"Complexe,Terne,Bavard,Surprenant","Melancolique,Fort,Mysterieux,Inquietant,Lent",,,,,,"Chaleureux,Dansant,Solennel",,"Complexe,Melancolique,Surprenant,Rapide,Inquietant",,"Complexe,Triste,Puissant,Bavard,Inquietant,Sombre","Melancolique,Epure,Tendre,Dansant,Joyeux,Solennel",,"Doux,Vaillant",18,Femme,FR,Etudiant,,0,,,Oui,Piano,,Non,,Non,,,,
"Complexe,Changeant,Incisif,Surprenant,Mysterieux,Vaillant",,,,,,"Terne,Faible,Melancolique,Mysterieux,Solennel",,,"Triste,Long,Monotone,Melancolique,Solennel",,"Complexe,Changeant,Melancolique,Lent",,"Colore,Mysterieux,Joyeux",,"Complexe,Changeant,Bavard,Surprenant,Rapide","Complexe,Changeant,Incisif,Agressif,Bavard","Terne,Melancolique,Mysterieux,Inquietant,Vaillant","Triste,Mysterieux,Inquietant,Sombre","Colore,Court,Puissant,Dansant,Brillant",,,,"Colore,Epure,Rapide,Dansant,Joyeux,Brillant",,"Complexe,Long,Surprenant,Mysterieux","Complexe,Colore,Dansant,Joyeux","Puissant,Long,Fort,Sombre",,"Dansant,Solennel,Vaillant",,22,Femme,FR,Etudiant,,8,Instrumentale,Piano,Non,,,Oui,3,Non,,,,
"Colore,Changeant,Rapide,Dansant",,,"Changeant,Agressif,Surprenant,Rapide,Joyeux",,,,"Colore,Puissant,Epure,Clair","Complexe,Puissant,Exotique,Joyeux",,"Transparent,Tendre,Lent","Incisif,Melancolique,Surprenant,Fort,Solennel,Lent",,,"Puissant,Fort,Mysterieux,Solennel","Puissant,Rapide",Rapide,,,,,"Doux,Bavard,Sombre",,"Colore,Chaleureux,Rapide,Dansant,Joyeux",,,,"Triste,Mysterieux,Inquietant,Solennel",Tendre,"Colore,Dansant,Joyeux","Complexe,Puissant,Melancolique,Bavard,Inquietant,Lent",18,Femme,FR,Etudiant,,0,,,Non,,,Oui,1,Non,,,,
Changeant,,,"Changeant,Dansant,Joyeux",,Agressif,,,Transparent,,,,"Incisif,Epure,Joyeux","Bavard,Surprenant",,,,"Doux,Melancolique,Lent","Doux,Melancolique,Epure",,"Colore,Chaleureux,Brillant,Vaillant",,,"Rapide,Dansant,Joyeux",Mysterieux,"Complexe,Incisif",Mysterieux,,Long,"Doux,Chaleureux",,18,Femme,FR,Etudiant,,6,Instrumentale,Piano,Non,,,Non,,Non,,,,
"Puissant,Surprenant,Fort,Rapide,Vaillant",,"Triste,Melancolique,Inquietant,Lent","Colore,Puissant,Bavard,Fort,Rapide,Clair,Joyeux,Brillant",,,,,Mysterieux,"Long,Tendre,Lent","Faible,Sombre,Lent","Faible,Surprenant,Fort",,"Faible,Mysterieux,Sombre,Vaillant","Puissant,Epure","Puissant,Monotone,Surprenant,Rapide",,"Mysterieux,Inquietant,Sombre",,"Changeant,Surprenant",,,,,,,"Bavard,Rapide,Joyeux",,"Faible,Melancolique",,"Triste,Doux,Melancolique,Tendre",19,Homme,FR,Etudiant,,4,Vocale,NSP,Non,,,Non,,Non,,,,
,,"Triste,Melancolique,Solennel,Sombre",,"Changeant,Incisif,Mysterieux,Inquietant","Complexe,Puissant,Rapide","Changeant,Mysterieux,Inquietant",,"Colore,Changeant,Court",,,,,,,,"Complexe,Agressif,Rapide",,"Triste,Melancolique,Lent","Colore,Agressif,Surprenant,Joyeux","Bavard,Dansant,Joyeux","Triste,Mysterieux,Solennel",,,"Complexe,Terne,Long",,"Complexe,Changeant,Chaleureux,Dansant","Triste,Monotone,Melancolique,Inquietant,Sombre","Monotone,Melancolique,Solennel","Chaleureux,Dansant,Joyeux",,19,Femme,FR,Etudiant,,2,Instrumentale,Guitare ,Non,,,Non,,Non,,,,
